subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
FSHN,3110,Food Chemistry,3.,Lecture 3.,,,,( CHEM 2310 or CHEM 3310 ); ENGL 2500,"The structure, properties, and chemistry of food constituents and animal and plant commodities. Credit or enrollment in BBMB course 3000 or higher recommended.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3110L,Food Chemistry Laboratory,1.,Laboratory 3.,,,,Credit or concurrent enrollment in FSHN 3110,"The laboratory practices of structure, properties, and chemistry of food constituents.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3140,Professional Development for Culinary Food Science and Food Science Majors,1.,Lecture 1.,,,,Major or minor in Culinary Food Science or Food Science; Junior or senior classification.,Introduction to the roles culinary scientists and food scientists hold within industry. Discussions focused on professional and educational development and emerging issues and trends in the food industry.,Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3150,Professional Skills for Culinary Food Science and Food Science Majors,1.,Lecture 1.,,,,Major or minor in FSHN,"Focus on the importance of professional skills and application of those skills to potential job situations. Professional skills include communication, team building, leadership vs. management styles, business ethics, and continual learning. Junior classification recommended.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3200X,Taste of the Middle East and North Africa,3.,Lecture 3.,,,,,"Exploration of Middle Eastern and North African food cultures through historical, religious, and social lenses. Students will engage in discussions, presentations, and cooking demonstrations and tastings. Taught in English. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3400,Foundations of Dietetic Practice,2.,Lecture 2.,,,,Major in Dietetics (A or H) or Pre-Diet and Exercise; Junior classification,"Introduction to the profession of dietetics and responsibilities associated with dietetic professional practice. Emphasis on exploring career options in dietetics and preparation for supervised practice and graduate school. Leadership and professional career development for the dietitian is addressed through self reflection and creation of materials for post-baccalaureate programs. Professional issues related to dietetic practice include Code of Ethics, legal credentialing and standards of professional practice, leadership and future trends in the profession.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3420,World Food Issues: Past and Present,3.,Lecture 3.,,,,Junior classification,"Issues associated with global agricultural and food systems including ethical, social, economic, environmental, and policy contexts. Investigation of various causes and consequences of overnutrition/undernutrition, global health, poverty, hunger, access, and distribution. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3510,Introduction to Food Engineering Concepts,3.,Lecture 3.,,,,"( FSHN 2070 ; [ MATH 1600 or MATH 1650 ]; [ PHYS 1150 , PHYS 1310 , or PHYS 2310 ])","Methodology for solving problems in food processing and introduction to food engineering concepts including food properties, material and energy balances, sources of energy, thermodynamics, fluid flow, heat transfer, and mass transfer.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3600,Advanced Nutrition and the Regulation of Metabolism in Health and Disease,3.,Lecture 3.,,,,ENGL 2500 ; FSHN 2650,Physiological and biochemical basis for nutrient needs; assessment of nutrient deficiency and toxicity; examination of nutrient functions and the regulation of metabolism; nutrient-gene interactions; mechanistic role of nutrients in health and disease. 3 credits or concurrent enrollment in 3000-level or above Biochemistry recommended. 3 credits in physiology recommended.,Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3610,Nutrition and Health Assessment,2.,"Lecture 2, Laboratory 2.",,,,FSHN 2650,"The assessment of nutritional status in healthy individuals. Laboratory experiences in food composition and assessment of dietary intake, body composition, and biochemical indices of nutritional status.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3620,Nutrition and Health Throughout the Lifecycle,3.,Lecture 3.,,,,FSHN 3600 ; credit or enrollment in BIOL 2560 or 3350,"Molecular, biochemical and physiological basis to understand the nutritional aspects of human development and aging. Nutrient needs and various disease states at each stage of human life cycle.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3640,Nutrition and Prevention of Chronic Disease,3.,Lecture 3.,,,,( BIOL 2560 or BIOL 3350 ) or enrolled in NRS major,"Overview of nutrients, their functions, metabolism, food sources and optimal choices for the promotion of health and wellness. Nutrition strategies for the prevention of chronic disease, including cancer, diabetes and obesity, as they apply to individuals or the wider population will be discussed.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3650,Obesity and Health,3.,Lecture 3.,,,,,"Multifactorial aspects of obesity, maintenance of healthy weight, and the relationship of weight status and chronic disease prevention. Traditional and novel nutrition and exercise theories as well as current popular diet and exercise trends will be discussed.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3670,Medical Terminology for Health Professionals,1.,Lecture 1.,,,,,"An independent course focused on medical terminology, abbreviations, and simple clinical mathematical calculations.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3730,Science and Practice of Brewing,3.,"Lecture 1.5, Laboratory 4.5.",,,,"21 years of age and one course from this list: BIOL 2110 , BIOL 2120 , CHEM 167, CHEM 1770 , PHYS 2310 , PHYS 2320","Introduction to brewing science and technology. Understanding the role of malts, hops, water, and yeast in production of ale and lager beers. Unit operations in brewing. Health, safety, and environmental sustainability in alcohol production and consumption. Weekly laboratory in practical aspects of beer production.","Fall, Spring",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3760X,Science and Practice of Cheesemaking,2.,Lecture 2.,,,,,"Science and Practice of Cheesemaking is designed to provide students with applied knowledge about milk chemistry and microbiology, sanitation, and cheesemaking. Small teams will engage in various aspects of research and development, including brainstorming, basic market research, food processing, sensory evaluation, and marketing pitches for a new cheese with beer or wine. The course culminates with an invitational culinary event, designed and executed by the students.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,3920,Food and Nutrition Services Management,3.,Lecture 3.,,,,HSPM 3800 ; HSPM 3800L,"Functions and responsibilities related to the management of foodservice systems and nutrition services, including planning, marketing, human resource management, and cost accounting. Accounting recommended.Graduation Restriction: Only one of HSPM 3920 or FSHN 3920 may count toward graduation.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4030,Food Laws and Regulations,2.,Lecture 2.,,,,3 credits in FSHN at 2000-level or above,"History of food law in the US and the world. Relationship between policy, legislation and regulation. Introduction to primary US regulatory agencies and enforcement principles. Discussion of key laws related to food safety and nutrition. Overview of federal and independent research tools and sources of food law.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4060,Sensory Evaluation of Food,3.,"Lecture 2, Laboratory 3.",,,,FSHN 3050 and credit or enrollment in FSHN 4110 ; 3 credits in statistics,"Sensory evaluation techniques used to evaluate the appearance, aroma, flavor, texture and acceptability of foods. Relationships between sensory and instrumental measurements of color and texture. Work independently and cooperatively (in a team) to identify sensory evaluation objectives, write hypotheses, design and conduct experiments, and analyze and interpret data.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4070,Microbiological Safety of Foods of Animal Origins,3.,Lecture 3.,,,,MICRO 2010 or MICRO 3020,"Examination of the various factors in the production of foods, from production through processing, distribution and final consumption which contribute to the overall microbiological safety of the food. Upon successful completion of this class, the student will receive both the Preventive Controls for Human Foods certificate (FDA program) and the International HACCP Alliance certificate (USDA-FSIS program). Recommended: FSHN 4200 or MICRO 4200 and one semester of Microbiology Laboratory.","Fall, Spring",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4080,Dairy Products Evaluation,1.,Laboratory 3.,,,,,"Gain experience in identifying quality defects in dairy products including milk, cottage cheese, cheddar cheese, strawberry yogurt, butter, and vanilla ice cream. Intensive training for the National Collegiate Dairy Products Evaluation competition and for dairy product evaluation in the food industry.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4100,Food Analysis,3.,"Lecture 2, Laboratory 3.",,,,FSHN 3110 or CHEM 2110,An introduction to the theory and application of chemical and instrumental methods for determining the constituents of food. Use of standard procedures for food analysis and food composition data bases.,Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4110,Food Ingredient Interactions and Formulations,2.,"Lecture 1, Laboratory 3.",,,,FSHN 2140 or FSHN 3110,"Application of food science principles to ingredient substitutions in food products. Laboratory procedures for standard formulations and instrumental evaluation, with emphasis on problem-solving and critical thinking.","Fall, Spring",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4120,Food Product Development,3.,"Lecture 1, Laboratory 6.",,,,FSHN 4110 ; senior classification,"Principles of developing consumer packaged food products. Application of skills gained in food chemistry, formulation, quality, sensory and processing. Emphasis on teamwork and effective communication.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4190,Foodborne Hazards,3.,Lecture 3.,,,,MICRO 2010 or MICRO 3020 ; 3 credits in BBMB,"Pathogenesis of human microbiological foodborne infections and intoxications, principles of toxicology, major classes of toxicants in the food supply, governmental regulation of foodborne hazards. Assessed service-learning component. Offered even-numbered years. Graduation Restriction: Only one of FSHN 4190 and FSHN 5190 may count toward graduation.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4200,Food Microbiology,3.,Lecture 3.,,,,MICRO 2010 or MICRO 3020,"Effects of microbial growth in foods. Methods to control, detect, and enumerate microorganisms in food and water. Foodborne infections and intoxications.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4210,Food Microbiology Laboratory,3.,"Lecture 1, Laboratory 5.",,,,MICRO 2010 or MICRO 3020 ; MICRO 2010L or MICRO 3020L . Credit or enrollment in FSHN/ MICRO 4200,Standard techniques used for the microbiological examination of foods. Independent and group projects on student-generated questions in food microbiology. Emphasis on oral and written communication and group interaction.,Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4300,U.S. Health Systems and Policy,2.,Lecture 2.,,,,"Junior, Senior, or Graduate Standing","Introduction to public policy for health care professionals. Emphasis on understanding the role of the practitioner for participating in the policy process, interpreting government policies and programs such as Medicare and Medicaid, determining reimbursement rates for eligible services, and understanding licensure and accreditation issues. Discussion and exploration of federal, state and professional policy-relevant resources.","Fall, Spring",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4350,Analysis of Food Markets,3.,Lecture 3.,,,,ECON 3010 and STAT 2260,Food market analysis from an economics perspective; food markets and consumption; methods of economic analysis; food industry structure and organization; food and agriculture regulations; labeling; consumer concerns; agricultural commodity promotion. Final project required.,Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4420,"Food, Culture, and Sustainability",3.,Lecture 2.,,,,Sophomore classification,"Sustainable food, social, and health systems depend on positive interactions between culture, biology, and the environment. Historical and current cultural characteristics, such as common foods, meal patterns, food taboos, therapeutic uses of food, religion, immigration, and food acquisition patterns will be studied. Cultural acceptability, socio-economic equity, inclusion of diversity beyond culture, and ways to leverage healthy behaviors will be discussed. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4450,Strategies for Personal Food Waste Reduction,1.,Lecture 1.,,,,Junior standing,"In-depth analysis and discussion of economic, environmental, social, and ethical implications of food waste. Overview of personal food waste reduction strategies, food recycling/recovery, and responsible waste disposal methods. Discussion and application of advocacy tactics for the promotion of food waste reduction in local communities.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4600,"Global Nutrition, Health and Sustainability",3.,Lecture 3.,,,,,"Nutrition, health, and agriculture related issues in low- and middle-income countries are discussed using the framework of the Sustainable Development Goals. Topics include malnutrition, climate change, food insecurity/famine, micronutrient deficiencies, food production, the nutrition transition, water and sanitation challenges, and chronic diseases to enhance awareness of diverse worldviews and cultural humility. Systems thinking and the interaction of culture, biology, and the environment are emphasized. Meets International Perspectives requirement. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4610,Medical Nutrition and Disease I,4.,Lecture 4.,,,,"(Dietetics, Diet and Exercise, and Nutritional Science Majors) AND ( BIOL 2560 or BIOL 3350 ), ( FSHN 3600 , FSHN 3610 , and FSHN 3670 )",Pathophysiology of selected chronic disease states and their associated medical problems. Specific attention will be directed to medical nutrition needs of patients in the treatment of each disease state to optimize nutritional status and improve health.,Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4630,Community Nutrition and Health,3.,Lecture 3.,,,,FSHN 3610,Dual listed with FSHN 4630 . Survey of current public health nutrition problems among nutritionally vulnerable individuals and groups. Discussion of the multidimensional nature of those problems and of community programs addressing them. Grant writing as a means for funding community nutrition program development. Significant emphasis on written and oral communication at the lay and professional level. Meets U.S. Cultures and Communities Requirement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4640,Medical Nutrition and Disease II,4.,Lecture 4.,,,,FSHN 4610 or NUTRS 5610,Dual listed with FSHN 4640 . Pathophysiology of selected acute and chronic disease states and their associated medical problems. Specific attention will be directed to medical nutrition needs of patients in the treatment of each disease state to optimize nutritional status and promote health.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4660,Nutrition Counseling and Education Methods,3.,,,,,FSHN 3610 and FSHN 3620,"Application of counseling and learning theories with individuals and groups in community and clinical settings. Includes discussion and experience in building rapport, assessment, diagnosis, intervention, monitoring, evaluation, and documentation. Literature review of specific counseling and learning theories.","Fall, Spring",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4670,Molecular Basis of Nutrition in Disease Etiology and Health Promotion,3.,Lecture 3.,,,,BBMB course 2000 or higher OR instructor permission,"Understanding the molecular basis for the role of nutrients, nutrient-derivatives, and bioactive compounds in the development, prevention, and treatment of common diseases including diabetes, cancer, vascular disease, obesity, neurological disease, aberrant mineral metabolism, and autoimmune disease. Translating this understanding into practical approaches for improving the health of individuals and populations. Credit for FSHN 3600 suggested.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4700X,Sustainable and Healthy Eating Patterns,3.,Lecture 3.,,,,FSHN 1670 or FSHN 2420,"Utilize a systems-based approach to consider health implications, economic considerations, environmental impacts, and sociocultural wellbeing to comprehensively explore sustainable diets. Evaluate benefits and challenges of transitioning to sustainable diets in the context of current and future food systems. Address the role of food environments, connect dietary guidelines to sustainability issues, and identify how sustainable diets fit in the context of global environmental goals. Food systems frameworks and models will be applied to evaluate the sustainability of select foods and eating patterns at the local and global level. .",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4710,Food Processing,3.,Lecture 3.,,,,(AE 4510 or CHE 3570 or FSHN 3510 ),"Principles and application of food processing using both thermal (ex., blanching, pasteurization, canning, drying, freezing, evaporation, aseptic processing, extrusion) and non-thermal (ex., high pressure, irradiation, pulsed electric field, fermentation) unit operations. Emphasis on microbial inactivation, process heat and mass balance, and numerical problem solving.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4720,Food Processing Laboratory,2.,"Lecture 1, Laboratory 3.",,,,FSHN 4710,"Hands-on and demonstration laboratory activities related to food processing principles and applications using lab and pilot-scale equipment. Laboratory experiences include important food processing operations, e.g., blanching/pasteurization, canning, freezing, drying, corn wet milling, fermentation, baking etc. Emphasis on mass balance, interpreting data, writing reports, and presentations. Occasional field trips.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4760X,Science and Practice of Grape and Wine,3.,"Lecture 2, Laboratory 2.",,,,CHEM 1670 or CHEM 1770 or FSHN 1010 or BIOL 2110 or BIOL 21210 or FSHN/ HORT 2760,"Develop an understanding of complex concepts on the importance of both viticulture and enology in the final quality of wine. Students will learn about various topics from ISU faculty as well as guest speakers. This course would provide knowledge and tools to be applied in the future on grape growing, on grape and wine chemistry, on the process of winemaking, on how to evaluate a food and beverage product, and on how to make decisions based on the knowledge. .",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4770X,Dairy Products and Dairy Processing,3.,"Laboratory 3, Lecture 2.",,,,Credit or concurrent enrollment in ( MICRO 2010 or MICRO 3020 ) and ( CHEM 1630 or CHEM 1670 or CHEM 1770 ),"In-depth exploration of dairy chemistry, microbiology, and advanced processing technologies in the dairy industry. Topics include milk composition, quality assurance, microbial management, the production of dairy products such as cheese, yogurt, butter, ice cream, and powdered milk, and sensory evaluation. Traditional and emerging processing techniques, including thermal processing, homogenization, spray drying, membrane filtration, and novel dairy processing technologies will be discussed. The course also covers dairy plant management, sustainability, and the role of automation in modern dairy production, equipping students with the expertise needed for innovation in the evolving dairy and food sector.",Spring,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4900A,Independent Study: Dietetics,1-6.,,,,True,Instructor Permission for Course,"Independent work in food science, nutrition, or dietetics. Graduation Restriction: A maximum of 6 credits of FSHN 4900 may be used toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4900B,Independent Study: Food Science,1-6.,,,,True,Instructor Permission for Course,"Independent work in food science, nutrition, or dietetics. Graduation Restriction: A maximum of 6 credits of FSHN 4900 may be used toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4900C,Independent Study: Nutrition,1-6.,,,,True,Instructor Permission for Course,"Independent work in food science, nutrition, or dietetics. Graduation Restriction: A maximum of 6 credits of FSHN 4900 may be used toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4900D,Independent Study: International Experience,1-6.,,,,True,,"Independent work in food science, nutrition, or dietetics. Graduation Restriction: A maximum of 6 credits of FSHN 4900 may be used toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4900E,Independent Study: Entrepreneurship,1-6.,,,,True,Instructor Permission for Course,"Independent work in food science, nutrition, or dietetics.Graduation Restriction: A maximum of 6 credits of FSHN 4900 may be used toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4900H,Independent Study: Honors,1-6.,,,,True,Permission of Instructor; Membership in the University Honors Program,"Independent work in food science, nutrition, or dietetics. Graduation Restriction: A maximum of 6 credits of FSHN 4900 may be used toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4910A,Supervised Work Experience: Dietetics,1-4.,,,,True,Permission of Instructor; Permission of Advisor,"Supervised off-campus work experience relevant to the academic major. Graduation Restriction: No More Than 4 Credits Of FSHN 4910A ,B,C May Be Applied Toward Graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4910B,Supervised Work Experience: Food Science,1-4.,,,,True,Permission of Instructor; Permission of Advisor,Supervised off-campus work experience relevant to the academic major. Graduation Restriction: A maximum of 4 credits of FSHN 4910 may be used toward graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4910C,Supervised Work Experience: Nutrition,1-4.,,,,True,Permission of Instructor; Permission of Advisor,Supervised off-campus work experience relevant to the academic major. Graduation Restriction: A maximum of 4 credits of FSHN 4910 may be used toward graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4910D,Supervised Work Experience: Culinary Science,1-4.,,,,True,Permission of Instructor; Permission of Advisor,"Supervised off-campus work experience relevant to the academic major. Graduation Restriction: No More Than 4 Credits Of FSHN 4910A ,B,C May Be Applied Toward Graduation. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4920,Research Concepts in Human Nutrition,2.,,,,,Junior standing or Permission of Instructor,"Students will develop and implement research projects with faculty supervision, based on knowledge gained from nutrition, biology and chemistry courses and write a formal science paper to share the results of their research. Students will gain appreciation for independent research and experience creative and innovative aspects of nutrition research.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4930,Food Preparation Workshop,1-3.,,,,True,,"Selected topics in food preparation including scientific principles, culture and culinary techniques. Variable format may include laboratory, recitation, and lecture. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4960A,Food Science and Human Nutrition Travel Course: International travel,1-4.,,,,True,,"(One credit per week traveled.) Limited enrollment. Tour and study of food industry, dietetic and nutritional agencies in different regions of the world. Pre-travel session arranged. Travel expenses paid by students. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4960B,Food Science and Human Nutrition Travel Course: Domestic travel,1-4.,,,,True,,"(One credit per week traveled.) Limited enrollment. Tour and study of food industry, dietetic and nutritional agencies in different regions of the world. Pre-travel session arranged. Travel expenses paid by students.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4980,Cooperative Education,Required.,,,,True,Department Chair Permission for Course,Required for students completing professional work periods in a cooperative education program. Students must register prior to commencing each work period. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,4990,Undergraduate Research,1-6.,,,,True,Instructor Permission for Course,Research under staff guidance. Graduation Restriction: A maximum of 6 credits of FSHN 4990 may be used toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fs_hn/
FSHN,5060,Sensory Evaluation of Food,3.,"Lecture 2, Laboratory 3.",,,,FSHN 3050 and credit or enrollment in FSHN 4110 ; 3 credits in statistics,"Sensory evaluation techniques used to evaluate the appearance, aroma, flavor, texture and acceptability of foods. Relationships between sensory and instrumental measurements of color and texture. Work independently and cooperatively (in a team) to identify sensory evaluation objectives, write hypotheses, design and conduct experiments, and analyze and interpret data.",Fall,https://catalog.iastate.edu/azcourses/fs_hn/
